epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,2793.98,1.20918,2.93448,1.28804,1.20261,0.43288,0.18653,0.1834,0.1189,0.40439,0.14903,0.13829,0.06991,1.42062,3.04032,1.47496,1.22136,4.38055e-05,4.38055e-05,4.38055e-05
29,2892.6,1.19857,2.92059,1.27746,1.19817,0.42885,0.1859,0.1841,0.11961,0.41695,0.14189,0.13798,0.07032,1.42386,3.03646,1.47191,1.22347,4.2502e-05,4.2502e-05,4.2502e-05
30,2985.72,1.20145,2.92794,1.27713,1.19971,0.41305,0.19392,0.18605,0.11951,0.37828,0.14878,0.13688,0.06955,1.42127,3.03407,1.46851,1.21898,4.11985e-05,4.11985e-05,4.11985e-05
31,3086.9,1.20499,2.92497,1.27813,1.20163,0.42859,0.18564,0.18484,0.11929,0.42645,0.14205,0.13521,0.06897,1.42023,3.03374,1.46955,1.21928,3.9895e-05,3.9895e-05,3.9895e-05
32,3175.08,1.19491,2.89576,1.26802,1.19402,0.41359,0.19371,0.18688,0.1204,0.3863,0.15229,0.14058,0.07077,1.41968,3.03493,1.46556,1.21994,3.85915e-05,3.85915e-05,3.85915e-05
33,3305.03,1.19445,2.90509,1.26649,1.19471,0.42553,0.19367,0.18609,0.11986,0.38986,0.15132,0.13999,0.07128,1.41728,3.02912,1.46139,1.21802,3.7288e-05,3.7288e-05,3.7288e-05
34,3394.34,1.19582,2.90613,1.26616,1.19582,0.40996,0.18233,0.1854,0.11973,0.41651,0.14355,0.13729,0.0687,1.41344,3.03083,1.4637,1.21676,3.59845e-05,3.59845e-05,3.59845e-05
35,3496.02,1.19132,2.89392,1.25263,1.19183,0.40726,0.18916,0.18409,0.11854,0.39876,0.14732,0.13811,0.07004,1.41901,3.04095,1.46477,1.21678,3.4681e-05,3.4681e-05,3.4681e-05
36,3598.51,1.19236,2.88497,1.25651,1.19305,0.42081,0.19637,0.18732,0.1198,0.39964,0.15085,0.13992,0.07168,1.41474,3.03263,1.45985,1.21605,3.33775e-05,3.33775e-05,3.33775e-05
37,3773.88,1.18657,2.88089,1.24521,1.19225,0.41073,0.18998,0.18571,0.11907,0.3839,0.14796,0.13722,0.06966,1.41775,3.03377,1.46015,1.21395,3.2074e-05,3.2074e-05,3.2074e-05
38,3878.21,1.18515,2.8899,1.24391,1.18618,0.37454,0.1944,0.18576,0.11967,0.33656,0.15308,0.13991,0.07088,1.41613,3.02848,1.45769,1.21342,3.07705e-05,3.07705e-05,3.07705e-05
39,4000.16,1.18043,2.88453,1.23668,1.18645,0.38497,0.19135,0.1848,0.11898,0.35043,0.1511,0.13995,0.07092,1.41624,3.03274,1.4662,1.21628,2.9467e-05,2.9467e-05,2.9467e-05
40,4112.7,1.18171,2.87712,1.23804,1.18832,0.37366,0.19554,0.18731,0.12012,0.36835,0.15097,0.14015,0.07061,1.41262,3.02946,1.45548,1.21328,2.81635e-05,2.81635e-05,2.81635e-05
41,4291.84,1.1834,2.87234,1.23608,1.18649,0.38066,0.19483,0.18788,0.1209,0.35064,0.15018,0.14105,0.07143,1.41686,3.03004,1.45577,1.21492,2.686e-05,2.686e-05,2.686e-05
42,4380.22,1.17936,2.86687,1.23053,1.18461,0.40336,0.19071,0.18576,0.11908,0.3868,0.14717,0.13733,0.07026,1.41316,3.02873,1.4562,1.21223,2.55565e-05,2.55565e-05,2.55565e-05
43,4479.71,1.177,2.86385,1.22693,1.18506,0.38352,0.19435,0.1868,0.12051,0.37183,0.1491,0.13943,0.0712,1.41359,3.02658,1.45724,1.21311,2.4253e-05,2.4253e-05,2.4253e-05
44,4567.84,1.1772,2.86447,1.22523,1.18521,0.39165,0.19717,0.18773,0.12074,0.37112,0.15377,0.13907,0.07006,1.41723,3.02676,1.45645,1.21516,2.29495e-05,2.29495e-05,2.29495e-05
45,4658.29,1.16834,2.84328,1.21408,1.18033,0.39627,0.19503,0.18887,0.12119,0.36732,0.14928,0.14012,0.07114,1.41589,3.0318,1.45522,1.21363,2.1646e-05,2.1646e-05,2.1646e-05
46,4746.22,1.16577,2.84448,1.21351,1.18115,0.38813,0.1973,0.18889,0.12107,0.35893,0.15255,0.13957,0.07092,1.41437,3.03097,1.45088,1.21248,2.03425e-05,2.03425e-05,2.03425e-05
